episode,reward,length,epsilon
595,-70,76,0.7426173305838513
596,-40,75,0.7422460219185594
597,-20,58,0.7418748989076002
598,-100,38,0.7415039614581465
599,-30,163,0.7411332094774175
600,-110,19,0.7407626428726788
601,60,230,0.7403922615512425
602,-50,164,0.7400220654204669
603,150,293,0.7396520543877567
604,-80,51,0.7392822283605629
605,-40,102,0.7389125872463826
606,-80,43,0.7385431309527595
607,-120,33,0.7381738593872831
608,-10,149,0.7378047724575895
609,-90,57,0.7374358700713607
610,50,249,0.737067152136325
611,-20,97,0.7366986185602569
612,-120,70,0.7363302692509768
613,120,213,0.7359621041163513
614,-20,38,0.7355941230642932
615,300,300,0.735226326002761
616,-40,62,0.7348587128397597
617,100,188,0.7344912834833398
618,20,149,0.7341240378415982
619,0,174,0.7337569758226774
620,-50,116,0.7333900973347661
621,-30,90,0.7330234022860987
622,-20,72,0.7326568905849558
623,140,211,0.7322905621396634
624,-20,109,0.7319244168585936
625,250,300,0.7315584546501643
626,-70,123,0.7311926754228393
627,280,300,0.7308270790851279
628,-10,118,0.7304616655455853
629,20,81,0.7300964347128126
630,260,300,0.7297313864954562
631,60,270,0.7293665208022085
632,-50,55,0.7290018375418075
633,380,300,0.7286373366230366
634,-10,93,0.7282730179547252
635,-30,141,0.7279088814457478
636,-10,103,0.727544927005025
637,10,78,0.7271811545415225
638,-100,15,0.7268175639642518
639,-40,88,0.7264541551822697
640,50,210,0.7260909281046787
641,-70,85,0.7257278826406264
642,-10,102,0.7253650186993061
643,30,95,0.7250023361899566
644,-10,215,0.7246398350218617
645,150,189,0.7242775151043508
646,20,34,0.7239153763467987
647,-20,124,0.7235534186586253
648,70,240,0.7231916419492961
649,-40,87,0.7228300461283215
650,-150,25,0.7224686311052574
651,-40,37,0.7221073967897048
652,-20,113,0.72174634309131
653,-20,39,0.7213854699197644
654,0,111,0.7210247771848045
655,-70,50,0.7206642647962122
656,-10,81,0.7203039326638141
657,180,300,0.7199437806974822
658,10,225,0.7195838088071335
659,140,193,0.71922401690273
660,310,300,0.7188644048942786
661,-30,94,0.7185049726918316
662,-10,106,0.7181457202054857
663,-10,66,0.717786647345383
664,-60,54,0.7174277540217103
665,-70,36,0.7170690401446995
666,60,216,0.7167105056246272
667,-30,130,0.716352150371815
668,-30,108,0.7159939742966291
669,40,240,0.7156359773094809
670,70,101,0.7152781593208262
671,40,202,0.7149205202411658
672,70,231,0.7145630599810453
673,-160,22,0.7142057784510548
674,140,296,0.7138486755618293
675,-10,102,0.7134917512240484
676,10,140,0.7131350053484364
677,-30,134,0.7127784378457622
678,290,300,0.7124220486268393
679,0,78,0.712065837602526
680,-130,32,0.7117098046837247
681,220,300,0.7113539497813829
682,40,102,0.7109982728064922
683,-10,103,0.710642773670089
684,-40,72,0.710287452283254
685,-20,121,0.7099323085571124
686,-130,93,0.7095773424028339
687,-10,263,0.7092225537316325
688,270,300,0.7088679424547667
689,100,170,0.7085135084835393
690,230,300,0.7081592517292976
691,-60,247,0.707805172103433
692,50,249,0.7074512695173812
693,-80,98,0.7070975438826226
694,20,109,0.7067439951106813
695,-50,130,0.7063906231131261
696,30,220,0.7060374278015695
697,-100,33,0.7056844090876688
698,-80,74,0.705331566883125
699,20,87,0.7049789010996835
700,20,207,0.7046264116491338
701,-30,80,0.7042740984433092
702,-100,100,0.7039219613940876
703,-30,44,0.7035700004133906
704,-50,131,0.703218215413184
705,-90,36,0.7028666063054774
706,-90,34,0.7025151730023247
707,-80,30,0.7021639154158236
708,-20,125,0.7018128334581157
709,-50,66,0.7014619270413868
710,-130,66,0.7011111960778661
711,10,190,0.7007606404798272
712,-90,35,0.7004102601595873
713,-70,30,0.7000600550295075
714,0,138,0.6997100250019928
715,-80,50,0.6993601699894918
716,10,88,0.6990104899044971
717,0,179,0.6986609846595448
718,190,300,0.6983116541672151
719,260,300,0.6979624983401315
720,-30,48,0.6976135170909614
721,70,282,0.697264710332416
722,-120,52,0.6969160779772499
723,120,205,0.6965676199382612
724,20,241,0.6962193361282921
725,-80,48,0.695871226460228
726,-40,71,0.6955232908469979
727,-110,16,0.6951755292015744
728,20,159,0.6948279414369737
729,0,131,0.6944805274662552
730,140,127,0.6941332872025221
731,-80,96,0.6937862205589209
732,10,45,0.6934393274486415
733,-130,21,0.6930926077849172
734,0,66,0.6927460614810248
735,50,249,0.6923996884502843
736,-150,35,0.6920534886060592
737,50,278,0.6917074618617562
738,-30,77,0.6913616081308254
739,-30,68,0.69101592732676
740,-90,83,0.6906704193630966
741,20,183,0.6903250841534151
742,-60,54,0.6899799216113385
743,-90,38,0.6896349316505328
744,240,300,0.6892901141847075
745,-100,53,0.6889454691276152
746,-30,85,0.6886009963930515
747,200,300,0.688256695894855
748,-120,36,0.6879125675469077
749,-130,26,0.6875686112631343
750,220,300,0.6872248269575028
